Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.3,5.9
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773,,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.383512477,8.079446229,8.161983859,3.814448151,-0.083506684,5.363818848,10.16523014,7.643844423,11.49366937,6.626134933,5.213132049,5.252301463,3.011813167,2.176852174,1.158550777,5.279886835,6.67640655,-4.359784666,6.604944883,5.471255814,4.731279149,3.707745945,6.203552126,-4.548109771,1.027234861,6.076636664,5.767103383,6.473689418,12.70814749,9.315182723,-0.014006598,-11.96287947,-7.840506837,-1.958742622,3.373142739,-0.60098233,2.198291887,1.421619976,4.120367544,2.71272658,6.712004872,3.172221937,-18.86877652,8.172863112,9.107806234,2.427363001,4.32752145
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.482330471,1.294220997,6.216179593,6.98016602,5.980140401,2.379005539,6.304878257,5.093706274,7.045274183,7.175694747,4.000579297,3.910452793,2.619597609,4.107112787,1.335769508,2.588438028,3.595124577,0.893490698,4.050418713,3.035655891,3.339964238,3.325385715,-2.224351225,4.593743638,5.278455013,3.96632897,2.559622174,5.757818839,3.873359505,3.577410965,-0.382260201,0.428289544,4.046728165,3.980388387,3.885926235,3.863888914,3.913247319,4.663214604,5.027684093,3.921502931,2.025105535,3.979585681,3.090761905,4.224284814,3.154167532,2.755346106,3.773321713,3.586266952,1.892555819,2.219980265,2.407080183,3.916709425,2.602193394,2.595284116,2.190169287,2.759385972,2.279591798,2.878469715,2.171545057,-0.119590736,2.111168148,4.242385553,3.4419922,1.43111252
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,7.122875502,5.11496844,6.207860573,4.890435984,3.942138196,-0.363735782,4.578444915,5.079981207,-0.210653652,5.356699939,1.731485496,-0.144294731,2.011254555,2.973087838,0.051275157,2.49867885,2.301392795,1.357167995,3.295879816,3.887074787,4.345641838,3.441627488,2.093524426,0.526809769,2.402118433,2.667983889,2.215767131,2.145835055,3.49288003,3.761924352,3.18952293,1.316987496,1.484368776,1.141565045,2.565255341,2.320365143,3.269336015,3.775224687,1.453305621,-3.586264726,1.80898243,2.927468002,0.628246239,-0.250726423,0.75579885,1.303523318,2.117219645,2.27224992,2.484221141,1.754976196,-6.318255092,4.795328857,5.277894485,-0.954962529,-1.173540536
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000176,-22.60000033,-23.09999872,-19.70000124,-11.79999911,1.299999405,5.800000148,9.999999612,7.4000013,11.09999914,9.899999691,9.438916342,10.20830001,9.253801326,27.96153807,34.46620936,25.46321591,10.59143729,9.369502784,4.78883271,-1.572997621,2.202939023,5.843415762,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.479808934,-4.198960792,5.616440269,4.714680379,1.354477318,4.071402105
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.74613505,9.063157934,4.135407422,6.273037901,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541142,21.32567073,2.746828712,-6.403964924,6.889050719,-0.726839563,0.697920236,7.942660976,11.46945304,-0.940575988,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.25018046,5.50309612,5.031024367,1.349502237,3.499822136,4.996836448,1.009998371,-6.240000001,-3.829999996,-7.920000004,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.451948564,4.861716367,3.812745366,5.124159994,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565324,0.327156893,3.099999999,1.848999439,2.665539604,3.489231748
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,6.352672114,3.985827197,5.295604671,6.3817018,4.565258509,-1.965941883,5.652746063,0.626154572,2.841896817,2.341073045,4.444053892,-0.279283585,0.594986768,0.311843009,2.466382451,1.651792971,1.822762033,2.306659689,4.723208729,3.469166976,3.137402217,1.833074413,1.530654751,-0.961873077,3.226971454,2.384757249,1.321432144,3.793671655,1.961832405,3.542717988,3.716705107,1.099603624,1.706894303,1.037955182,3.571206719,2.321737929,2.552340873,3.676924625,0.446905131,-1.906441055,2.710311503,1.931155024,0.215803612,0.305494549,1.765540381,1.474164337,1.19350273,1.474467616,1.877968474,2.442890045,-4.792983908,6.207599813,4.259360737,1.201691782,1.018898625
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.141280456,-3.426409821,4.730027971,6.650759128,5.293862829,3.575862732,1.078398667,3.842335635,2.877497974,2.097757581,-1.496841826,6.426367545,3.706165319,3.339312157,-4.895345447,0.884356333,4.98366373,1.255078028,6.535747415,6.781763868,9.954231167,2.235066344,-4.347822735,7.929839566,7.530324838,2.171141598,-1.500002952,3.405245296,-2.854160496,8.97613436,4.225799421,2.957710827,5.836172085,2.020400448,6.04519865,4.324284031,5.734688375,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628,3.8487924,7.155451646,6.252947054,6.352777385,7.453115662
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.043927978,6.12879878,-1.268016373,2.282819224,3.764545381,0.537613084,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498742,0.449327404,8.28642648,2.998382897,8.534894961,0.370353564,4.607825,3.664621512,0.796878879,4.255303395,9.562196622,0.34598474,-1.778696688,8.517364991,7.955362729,-0.236336789,5.795592965,2.150267272,-0.602928478,9.069984459,0.232710762,3.461384939,1.315007272,5.716373863,11.01474387,6.316834735,7.307719635,7.395237801,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.604569068,5.889204971,2.010772624,6.942524926,1.497239741,2.960181474,4.985103006
